model,scenario,task_count,baseline_score_sum,sro_score_sum,baseline_mean_score,sro_mean_score,baseline_tokens_sum,sro_tokens_sum,baseline_requests_sum,sro_requests_sum,timed_task_count,baseline_seconds_sum,sro_seconds_sum,median_token_reduction_pct,median_request_reduction_pct,median_time_reduction_pct,mean_score_delta,combined_token_reduction_pct,combined_request_reduction_pct,combined_time_reduction_pct
DeepSeek-V4-Flash,Long-context reading,5,3.9444444444444446,5.0,0.788888888888889,1.0,2242672,301295,101,22,5,627.6080000000001,153.658,79.52602982249965,73.33333333333333,68.82318946375887,0.2111111111111111,86.5653559682379,78.21782178217822,75.51688314999171
DeepSeek-V4-Pro,Long-context reading,5,5.0,5.0,1.0,1.0,1493414,271140,83,20,5,747.409,178.237,76.17924753914882,71.42857142857143,75.03610201397663,0.0,81.84428430428535,75.90361445783132,76.15268213254055
Qwen3.6-Plus,Long-context reading,5,5.0,5.0,1.0,1.0,898503,207803,72,22,5,638.492,209.824,80.67180500714282,72.22222222222221,68.25567542524324,0.0,76.87230871794529,69.44444444444444,67.13756789435106
GLM-5.1,Long-context reading,5,5.0,5.0,1.0,1.0,1135434,239610,74,20,5,530.223,168.466,65.84635090767215,60.0,68.508176704898,0.0,78.89705610365728,72.97297297297297,68.22733076460281
Kimi-K2.5,Long-context reading,5,1.0,5.0,0.2,1.0,3889012,275409,194,20,5,1207.463,133.275,93.89558511530035,91.30434782608695,88.6386946542698,0.8,92.91827847278434,89.69072164948454,88.96239470691854
DeepSeek-V4-Flash,Multi-file audit and diagnosis,5,2.858653846153846,4.58298717948718,0.5717307692307692,0.916597435897436,3334747,1485942,124,66,5,828.344,400.872,59.30119862524634,43.18181818181818,46.36145083676727,0.3448666666666667,55.44063762558299,46.774193548387096,51.605613126913454
DeepSeek-V4-Pro,Multi-file audit and diagnosis,5,3.181102564102564,4.549294871794872,0.6362205128205127,0.9098589743589743,1541863,852685,75,40,5,871.3900000000001,441.381,64.27942970265352,57.89473684210527,55.21896815580386,0.27363846153846155,44.69774551954357,46.666666666666664,49.3474793146582
Qwen3.6-Plus,Multi-file audit and diagnosis,5,3.9904679487179484,4.880711538461538,0.7980935897435897,0.9761423076923077,1107624,794019,75,57,5,949.9259999999999,603.809,49.16763808301353,39.285714285714285,50.070730316914045,0.178048717948718,28.31330848735672,24.0,36.43620660977802
GLM-5.1,Multi-file audit and diagnosis,5,4.274576923076923,4.834294871794872,0.8549153846153846,0.9668589743589744,2826971,1037251,133,53,5,2279.986,931.142,66.16808622192283,62.0,72.79003115264797,0.11194358974358976,63.308749895205864,60.150375939849624,59.160187825714715
Kimi-K2.5,Multi-file audit and diagnosis,5,3.352692307692308,4.395,0.6705384615384615,0.8789999999999999,1144000,837063,61,44,5,821.7280000000001,539.347,45.917740539897885,33.33333333333333,42.4929640214285,0.20846153846153842,26.83015734265734,27.86885245901639,34.364290860236
DeepSeek-V4-Flash,Structured analysis,4,3.96875,4.0,0.9921875,1.0,1839320,1084458,77,45,4,868.0229999999999,257.409,7.216710426056805,12.132352941176471,65.91807785807794,0.0078125,41.040275754083034,41.55844155844156,70.34537103279521
DeepSeek-V4-Pro,Structured analysis,4,3.5195833333333333,3.96875,0.8798958333333333,0.9921875,1845623,795374,70,37,4,909.11,371.219,57.92114196588585,45.7002457002457,55.81337693752974,0.11229166666666668,56.90485001541485,47.14285714285714,59.16676749788255
Qwen3.6-Plus,Structured analysis,4,2.677083333333333,4.0,0.6692708333333333,1.0,1038806,515464,64,37,3,935.336,298.461,14.943162987267659,19.642857142857142,32.673482116224214,0.3307291666666667,50.37918533393145,42.1875,68.09050437489843
GLM-5.1,Structured analysis,4,3.4283333333333332,4.0,0.8570833333333333,1.0,2344300,842450,112,41,4,2074.981,585.912,67.9662175209591,66.0,77.86014955263909,0.1429166666666667,64.06389967154375,63.39285714285714,71.76301855294098
Kimi-K2.5,Structured analysis,4,3.5375,3.8125,0.884375,0.953125,492715,415344,32,24,4,534.9590000000001,313.202,8.530182285943127,19.230769230769234,43.73053164230033,0.06874999999999998,15.70299260221426,25.0,41.453083320404
DeepSeek-V4-Flash,Native-fit controls,3,1.7083333333333335,1.6458333333333333,0.5694444444444445,0.548611111111111,643818,635054,32,30,3,270.279,272.312,0.4676169607156572,0.0,13.73885034687809,-0.020833333333333353,1.3612542675103834,6.25,-0.7521857044017535
DeepSeek-V4-Pro,Native-fit controls,3,1.9041666666666668,2.091666666666667,0.6347222222222223,0.6972222222222223,604835,362680,30,22,3,393.716,256.125,10.254098212836558,0.0,39.35992357296393,0.06250000000000004,40.03653889077186,26.666666666666668,34.946763657052294
Qwen3.6-Plus,Native-fit controls,3,1.9375,1.7083333333333335,0.6458333333333334,0.5694444444444445,611673,351969,32,26,3,654.624,517.3119999999999,-3.6273334475081347,0.0,-69.56935157352308,-0.07638888888888888,42.45797999911717,18.75,20.975705137605726
GLM-5.1,Native-fit controls,3,1.7291666666666665,1.5666666666666669,0.5763888888888888,0.5222222222222223,377838,481005,22,28,3,573.553,557.7049999999999,11.249860837941144,0.0,2.290413627059349,-0.05416666666666662,-27.304559096755753,-27.27272727272727,2.7631273831712275
Kimi-K2.5,Native-fit controls,3,1.7145833333333333,1.6416666666666666,0.5715277777777777,0.5472222222222222,579516,254188,30,16,3,487.644,245.33800000000002,52.95784682366911,42.857142857142854,51.93636026426331,-0.024305555555555598,56.13788057620497,46.666666666666664,49.68911747094191
